commit,total_duration,neutron.rpc_sg_info_for_devices_short_id (run 1),neutron.rpc_sg_info_for_devices_short_id (run 2),neutron.rpc_sg_info_for_devices_short_id (run 3),neutron.rpc_sg_info_for_devices_short_id (run 4),neutron.rpc_sg_info_for_devices_short_id (avg),neutron.rpc_sg_info_for_devices_short_id (max),neutron.rpc_sg_info_for_devices_full_id (run 1),neutron.rpc_sg_info_for_devices_full_id (run 2),neutron.rpc_sg_info_for_devices_full_id (run 3),neutron.rpc_sg_info_for_devices_full_id (run 4),neutron.rpc_sg_info_for_devices_full_id (avg),neutron.rpc_sg_info_for_devices_full_id (max),neutron.rpc_get_devices_details_list (run 1),neutron.rpc_get_devices_details_list (run 2),neutron.rpc_get_devices_details_list (run 3),neutron.rpc_get_devices_details_list (run 4),neutron.rpc_get_devices_details_list (avg),neutron.rpc_get_devices_details_list (max),neutron.rpc_get_routers (run 1),neutron.rpc_get_routers (run 2),neutron.rpc_get_routers (run 3),neutron.rpc_get_routers (run 4),neutron.rpc_get_routers (avg),neutron.rpc_get_routers (max)
3f45031d685a60abc3df293430db1ca458bc5620,398.7955629825592,0.6576969623565674,1.2358829975128174,1.6832189559936523,2.09175705909729,1.4171389937400818,2.09175705909729,0.6522929668426514,1.0797920227050781,1.6281030178070068,2.200932025909424,1.39028000831604,2.200932025909424,3.2780730724334717,3.2990779876708984,3.426730155944824,3.180514097213745,3.296098828315735,3.426730155944824,20.967308044433594,22.610232830047607,23.89485812187195,23.946640014648438,22.854759752750397,23.946640014648438
d179328a5250e83b4f632a3923f892b160a7315e,383.92279291152954,0.6559481620788574,1.0890960693359375,1.669464111328125,2.13655686378479,1.3877663016319275,2.13655686378479,0.6549549102783203,1.1355159282684326,1.647697925567627,2.1287600994110107,1.3917322158813477,2.1287600994110107,3.2374980449676514,3.139756202697754,3.158881902694702,3.1419551372528076,3.1695228219032288,3.2374980449676514,20.330116033554077,21.713161945343018,22.83358407020569,24.03634285926819,22.228301227092743,24.03634285926819
f4a2a7d9c7eca441577e57fae7c75aa1b069d066,383.28232312202454,0.623115062713623,1.0758919715881348,1.6161789894104004,2.0644309520721436,1.3449042439460754,2.0644309520721436,0.6323118209838867,1.1346468925476074,1.596679925918579,2.1826589107513428,1.386574387550354,2.1826589107513428,3.187175989151001,3.138908863067627,3.0469400882720947,3.083220958709717,3.11406147480011,3.187175989151001,19.80658507347107,21.38205599784851,22.7343111038208,23.586972951889038,21.877481281757355,23.586972951889038
949f6e23b3e0af79c89d6ebb1a5add0a64f62028,381.35698914527893,0.6246249675750732,1.0718839168548584,1.6044230461120605,2.1254639625549316,1.356598973274231,2.1254639625549316,0.6580960750579834,1.1171619892120361,1.712663173675537,2.138749122619629,1.4066675901412964,2.138749122619629,3.039076089859009,3.0957961082458496,3.109477996826172,3.0509650707244873,3.0738288164138794,3.109477996826172,19.956575870513916,21.634037017822266,22.636090993881226,23.886234045028687,22.028234481811523,23.886234045028687
b9d48c92542b0e8e90d1fe497bc45e221748bce5,375.77612590789795,0.6522481441497803,1.1345429420471191,1.604207992553711,2.1139469146728516,1.3762364983558655,2.1139469146728516,0.6628110408782959,1.1352288722991943,1.5654571056365967,2.1669461727142334,1.38261079788208,2.1669461727142334,3.096304178237915,3.109494924545288,3.097109079360962,3.0781850814819336,3.0952733159065247,3.109494924545288,18.72698712348938,20.333334922790527,21.65588092803955,23.106019973754883,20.955555737018585,23.106019973754883
9e0d0132205ab2fa2e9df38ddecf75b58bed0ebd,375.790718793869,0.6375157833099365,1.0776000022888184,1.5777390003204346,2.199712038040161,1.3731417059898376,2.199712038040161,0.65236496925354,1.1226799488067627,1.5863840579986572,2.154900074005127,1.3790822625160217,2.154900074005127,3.0343639850616455,3.152477979660034,3.1190710067749023,3.2161171436309814,3.130507528781891,3.2161171436309814,19.078273057937622,20.63139319419861,21.880117893218994,26.00895619392395,21.899685084819794,26.00895619392395
145e0052d6a9d995da88940fdddcac016d23448a,393.73327708244324,0.6341400146484375,1.1117188930511475,1.5686030387878418,2.1134071350097656,1.356967270374298,2.1134071350097656,0.6349790096282959,1.0551741123199463,1.5735900402069092,2.100569009780884,1.3410780429840088,2.100569009780884,3.223519802093506,3.1852200031280518,3.139137029647827,3.1612749099731445,3.1772879362106323,3.223519802093506,19.125518083572388,20.501998901367188,21.1081280708313,22.296003103256226,20.757912039756775,22.296003103256226
ed209643f110204894edb801e0795ff39b4d7df2,388.3610908985138,0.637178897857666,1.1192119121551514,1.640712022781372,2.0693318843841553,1.3666086792945862,2.0693318843841553,0.6459448337554932,1.0753250122070312,1.6348252296447754,2.1336138248443604,1.372427225112915,2.1336138248443604,3.1170129776000977,3.129160165786743,3.1135411262512207,3.078579902648926,3.109573543071747,3.129160165786743,18.67694592475891,19.816138982772827,20.878071069717407,22.13089108467102,20.37551176548004,22.13089108467102
bcb2054de03888064fc8aa1b02a94db939725a57,395.9860417842865,0.6460959911346436,1.0834150314331055,1.5933101177215576,2.0678141117095947,1.3476588129997253,2.0678141117095947,0.6612660884857178,1.0892729759216309,1.6171200275421143,2.1514551639556885,1.3797785639762878,2.1514551639556885,3.1647748947143555,3.2052581310272217,3.1144399642944336,3.0726139545440674,3.1392717361450195,3.2052581310272217,19.120584964752197,20.252331018447876,20.820677995681763,21.869972944259644,20.51589173078537,21.869972944259644
27ab8e619324a212b54c431a9837cebe8beb3618,392.97956824302673,0.618494987487793,1.0817019939422607,1.6181931495666504,2.0925052165985107,1.3527238368988037,2.0925052165985107,0.6441688537597656,1.1267900466918945,1.5843100547790527,2.176069974899292,1.3828347325325012,2.176069974899292,3.1539061069488525,3.187311887741089,3.262134075164795,3.21866512298584,3.205504298210144,3.262134075164795,18.845122814178467,19.881661891937256,20.770293951034546,22.208409786224365,20.42637211084366,22.208409786224365
