commit,total_duration,neutron.rpc_sg_info_for_devices_full_id (run 1),neutron.rpc_sg_info_for_devices_full_id (run 2),neutron.rpc_sg_info_for_devices_full_id (avg),neutron.rpc_sg_info_for_devices_full_id (max),neutron.rpc_get_devices_details_list (run 1),neutron.rpc_get_devices_details_list (run 2),neutron.rpc_get_devices_details_list (avg),neutron.rpc_get_devices_details_list (max),neutron.rpc_get_routers (run 1),neutron.rpc_get_routers (run 2),neutron.rpc_get_routers (avg),neutron.rpc_get_routers (max)
26a17ccf9c507d6cd67410334d6f0883e1d927ea,61.25940823554993,9.195727109909058,8.745452880859375,8.970589995384216,9.195727109909058,10.06775689125061,10.252233982086182,10.159995436668396,10.252233982086182,11.575223922729492,11.415292024612427,11.49525797367096,11.575223922729492
f3ac2a6248a21ccc33d978d5a8f200a4a937f886,61.43742823600769,9.200590133666992,8.723363876342773,8.961977005004883,9.200590133666992,10.195337057113647,10.042163848876953,10.1187504529953,10.195337057113647,11.862675905227661,11.406298875808716,11.634487390518188,11.862675905227661
b74ceff93ee82d6c2b97d4d0d4333797411f0d0a,62.5664279460907,9.283825874328613,8.89853310585022,9.091179490089417,9.283825874328613,10.556005954742432,10.3178551197052,10.436930537223816,10.556005954742432,12.02193808555603,11.48055100440979,11.75124454498291,12.02193808555603
4475c813ee271f3f3c502f43cd0bcca2d5502c62,61.032405853271484,9.01401686668396,9.016330003738403,9.015173435211182,9.016330003738403,9.991828918457031,10.00265908241272,9.997244000434875,10.00265908241272,11.649063110351562,11.349744081497192,11.499403595924377,11.649063110351562
44efa7d72f135cbc3d70f99ccf4236d3049ac159,61.27431106567383,9.083195924758911,8.779625177383423,8.931410551071167,9.083195924758911,10.181957006454468,10.130824089050293,10.15639054775238,10.181957006454468,11.778475046157837,11.311470031738281,11.544972538948059,11.778475046157837
208c4e497cab5c366d8ca620028bafa8ca7803b2,60.62509274482727,8.90711784362793,8.824384212493896,8.865751028060913,8.90711784362793,10.159627199172974,10.089629888534546,10.12462854385376,10.159627199172974,11.501383066177368,11.135580062866211,11.31848156452179,11.501383066177368
fb1a466f2022c2e62c8e9a5163e41399efe8485c,60.742796897888184,9.014595031738281,8.537369012832642,8.775982022285461,9.014595031738281,9.960834980010986,10.041834115982056,10.001334547996521,10.041834115982056,11.696587085723877,11.484418869018555,11.590502977371216,11.696587085723877
eed33137fd6a710441cf309b3c900b0c966c8561,62.55579900741577,9.191690921783447,9.303364038467407,9.247527480125427,9.303364038467407,10.51779317855835,10.270171880722046,10.393982529640198,10.51779317855835,11.610411882400513,11.654684066772461,11.632547974586487,11.654684066772461
eaa802e478a3590f87fc1b196ce8a954fbd7ca6a,62.14858293533325,9.233199119567871,9.070127010345459,9.151663064956665,9.233199119567871,10.230829000473022,10.204873085021973,10.217851042747498,10.230829000473022,11.888415813446045,11.513581037521362,11.700998425483704,11.888415813446045
8f2ca8a704d687dfd8b405441554727de95edbef,61.280152797698975,9.190853118896484,8.558364868164062,8.874608993530273,9.190853118896484,10.328628063201904,10.311858892440796,10.32024347782135,10.328628063201904,11.700039148330688,11.183696031570435,11.441867589950562,11.700039148330688
